Name;ISIN;Symbol;Market;Source;Notes
ACCIONA, S.A.;;;Bolsa de Madrid;spain_cnmv;
ACERINOX, S.A.;;;Bolsa de Madrid;spain_cnmv;
ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.;;;Bolsa de Madrid;spain_cnmv;
ADOLFO DOMINGUEZ, S.A.;;;Bolsa de Madrid;spain_cnmv;
AEDAS HOMES, S.A.;;;Bolsa de Madrid;spain_cnmv;
AENA, S.M.E., S.A.;;;Bolsa de Madrid;spain_cnmv;
AIRTIFICIAL INTELLIGENCE STRUCTURES, S.A.;;;Bolsa de Madrid;spain_cnmv;
ALANTRA PARTNERS, S.A.;;;Bolsa de Madrid;spain_cnmv;
ALMIRALL, S.A.;;;Bolsa de Madrid;spain_cnmv;
AMADEUS IT GROUP, S.A.;;;Bolsa de Madrid;spain_cnmv;
AMPER, S.A.;;;Bolsa de Madrid;spain_cnmv;
AMREST HOLDINGS, SE;;;Bolsa de Madrid;spain_cnmv;
APPLUS SERVICES, S.A.;;;Bolsa de Madrid;spain_cnmv;
ARIMA REAL ESTATE SOCIMI, S.A.;NL0010558797;OCI;Bolsa de Madrid;spain_cnmv;
ARTECHE LANTEGI ELKARTEA, S.A.;FR0012185536;ARTE;Bolsa de Madrid;spain_cnmv;
ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.;;;Bolsa de Madrid;spain_cnmv;
ATRYS HEALTH, S.A.;;;Bolsa de Madrid;spain_cnmv;
AUDAX RENOVABLES, S.A.;PTREL0AM0008;RENE;Bolsa de Madrid;spain_cnmv;
AUTOPISTAS DEL ATLANTICO, CONCESIONARIA ESPAÑOLA, S.A.U.;;;Bolsa de Madrid;spain_cnmv;
AYCO GRUPO INMOBILIARIO, S.A.;;;Bolsa de Madrid;spain_cnmv;
AZKOYEN, S.A.;;;Bolsa de Madrid;spain_cnmv;
BANCO BILBAO VIZCAYA ARGENTARIA, S.A.;;;Bolsa de Madrid;spain_cnmv;
BANCO DE SABADELL, S.A.;;;Bolsa de Madrid;spain_cnmv;
BANCO SANTANDER, S.A.;;;Bolsa de Madrid;spain_cnmv;
BANKINTER, S.A.;;;Bolsa de Madrid;spain_cnmv;
BERKELEY ENERGIA LIMITED;IT0001157020;ERG;Bolsa de Madrid;spain_cnmv;
BODEGAS RIOJANAS, S.A.;;;Bolsa de Madrid;spain_cnmv;
BORGES AGRICULTURAL & INDUSTRIAL NUTS, S.A.;;;Bolsa de Madrid;spain_cnmv;
CAIXABANK NOTAS MINORISTAS, S.A.U.;;;Bolsa de Madrid;spain_cnmv;
CAIXABANK, S.A.;;;Bolsa de Madrid;spain_cnmv;
CELLNEX TELECOM, S.A.;;;Bolsa de Madrid;spain_cnmv;
CEMENTOS MOLINS, S.A.;;;Bolsa de Madrid;spain_cnmv;
CIE AUTOMOTIVE, S.A.;;;Bolsa de Madrid;spain_cnmv;
CIRSA ENTERPRISES, S.A.;IT0000070786;CIR;Bolsa de Madrid;spain_cnmv;
CLINICA BAVIERA, S.A.;;;Bolsa de Madrid;spain_cnmv;
COLONIAL SFL, SOCIMI, S.A.;NL0010558797;OCI;Bolsa de Madrid;spain_cnmv;
COMPAÑIA ESPAÑOLA DE VIVIENDAS EN ALQUILER, S.A.;;;Bolsa de Madrid;spain_cnmv;
COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.;;;Bolsa de Madrid;spain_cnmv;
CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A;;;Bolsa de Madrid;spain_cnmv;
CORPORACION ACCIONA ENERGIAS RENOVABLES, S.A.;IT0001157020;ERG;Bolsa de Madrid;spain_cnmv;
CORPORACION FINANCIERA ALBA, S.A.;;;Bolsa de Madrid;spain_cnmv;
COX INFRASTRUCTURE GROUP, S.A.;;;Bolsa de Madrid;spain_cnmv;
DEOLEO, S.A.;;;Bolsa de Madrid;spain_cnmv;
DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.;;;Bolsa de Madrid;spain_cnmv;
DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.;IT0003242622;TRN;Bolsa de Madrid;spain_cnmv;
DURO FELGUERA, S.A.;;;Bolsa de Madrid;spain_cnmv;
EBRO FOODS, S.A.;;;Bolsa de Madrid;spain_cnmv;
ECOENER, S.A.;;;Bolsa de Madrid;spain_cnmv;
ECOLUMBER, S.A. (EN LIQUIDACION);;;Bolsa de Madrid;spain_cnmv;
EDP RENEWABLES, S.A.;PTEDP0AM0009;EDP;Bolsa de Madrid;spain_cnmv;
EDREAMS ODIGEO, S.A.;;;Bolsa de Madrid;spain_cnmv;
ELECNOR, S.A.;;;Bolsa de Madrid;spain_cnmv;
EMISORA SANTANDER ESPAÑA  S.A.U.;;;Bolsa de Madrid;spain_cnmv;
ENAGAS, S.A.;;;Bolsa de Madrid;spain_cnmv;
ENCE ENERGIA Y CELULOSA, S.A.;IT0001157020;ERG;Bolsa de Madrid;spain_cnmv;
ENDESA, S.A.;;;Bolsa de Madrid;spain_cnmv;
ERCROS, S.A.;;;Bolsa de Madrid;spain_cnmv;
EROSKI SOCIEDAD COOPERATIVA;NL0010558797;OCI;Bolsa de Madrid;spain_cnmv;
FAES FARMA, S.A.;;;Bolsa de Madrid;spain_cnmv;
FERTIBERIA CORPORATE, S.L.U.;;;Bolsa de Madrid;spain_cnmv;
FLUIDRA, S.A.;;;Bolsa de Madrid;spain_cnmv;
FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.;;;Bolsa de Madrid;spain_cnmv;
