Name;ISIN;Symbol;Market;Source;Notes
Бългериан газ къмпани ЕООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
ВЕЦ козлодуй ЕАД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Гранд Енерджи Дистрибюшън ЕООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Грийнерджи България 1 ЕООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Диагностично консултативен център II - Добрич;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
ДКЦ - II - Добрич ЕООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
ЕКОТЕРА СОЛАР ООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Интерсолар Варна АД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
КонтурГлобал Марица  Изток 3 АД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Контурглобал Марица Изток 3;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Номад Енерджи Къмпани;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Номад Енерджи Къмпани ЕООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Номад Енерджи Къмпъни ЕООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
ПЕРПЕТУУМ МОБИЛЕ БГ АД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
ПИРИН ВАТ ООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
РИТЪМ-4-ТБ ООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
СД Начеви - 90 С-ие;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
СД НАЧЕВИ-90 и С-ие;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Тибиел ЕООД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Топлофикация - Разград;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Топлофикация - Разград АД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
Топлофикация Сливен ЕАД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
ЧЕЗ Трейд България ЕАД;;;Bulgarian Stock Exchange;bse_x3news_index;Pas d'ISIN dans l'index BSE — compléter manuellement
