Name;ISIN;Symbol;Market;Source;Notes
AALBERTS NV;NL0000852564;AALB;Euronext Amsterdam;euronext_regulated_list;
ABN AMRO BANK N.V.;NL0011540547;ABN;Euronext Amsterdam;euronext_regulated_list;
ACCSYS;GB00BQQFX454;AXS;Euronext Amsterdam;euronext_regulated_list;
ACOMO;NL0000313286;ACOMO;Euronext Amsterdam;euronext_regulated_list;
ADYEN;NL0012969182;ADYEN;Euronext Amsterdam;euronext_regulated_list;
AEDIFICA;BE0003851681;AED;Euronext Amsterdam;euronext_regulated_list;
AEGON;BMG0112X1056;AGN;Euronext Amsterdam;euronext_regulated_list;
Agility Capital H;VGG885761301;AGIL;Euronext Amsterdam;euronext_regulated_list;
AHOLD DEL;NL0011794037;AD;Euronext Amsterdam;euronext_regulated_list;
AIR FRANCE -KLM;FR001400J770;AF;Euronext Amsterdam;euronext_regulated_list;
AJAX;NL0000018034;AJAX;Euronext Amsterdam;euronext_regulated_list;
AKZO NOBEL;NL0013267909;AKZA;Euronext Amsterdam;euronext_regulated_list;
ALFEN;NL0012817175;ALFEN;Euronext Amsterdam;euronext_regulated_list;
ALLFUNDS GROUP;GB00BNTJ3546;ALLFG;Euronext Amsterdam;euronext_regulated_list;
ALMUNDA PRO NV;NL0010696704;AMUND;Euronext Amsterdam;euronext_regulated_list;
ALUMEXX N.V.;NL0012194724;ALX;Euronext Amsterdam;euronext_regulated_list;
AMG;NL0000888691;AMG;Euronext Amsterdam;euronext_regulated_list;
APERAM;LU0569974404;APAM;Euronext Amsterdam;euronext_regulated_list;
ARCADIS;NL0006237562;ARCAD;Euronext Amsterdam;euronext_regulated_list;
ARCELORMITTAL SA;LU1598757687;MT;Euronext Amsterdam;euronext_regulated_list;
ASM INTERNATIONAL;NL0000334118;ASM;Euronext Amsterdam;euronext_regulated_list;
ASML HOLDING;NL0010273215;ASML;Euronext Amsterdam;euronext_regulated_list;
ASR NEDERLAND;NL0011872643;ASRNL;Euronext Amsterdam;euronext_regulated_list;
AVANTIUM;NL0015002IE0;AVTX;Euronext Amsterdam;euronext_regulated_list;
AZERION;NL00150006Z9;AZRN;Euronext Amsterdam;euronext_regulated_list;
AZERION WARRANTS;NL00150007A0;AZRNW;Euronext Amsterdam;euronext_regulated_list;
BAM GROEP KON;NL0000337319;BAMNB;Euronext Amsterdam;euronext_regulated_list;
BANIJAY GROUP;NL0015000X07;BNJ;Euronext Amsterdam;euronext_regulated_list;
BANIJAY GROUP WARR;NL0015000H56;BNJW;Euronext Amsterdam;euronext_regulated_list;
BASIC-FIT;NL0011872650;BFIT;Euronext Amsterdam;euronext_regulated_list;
BE SEMICONDUCTOR;NL0012866412;BESI;Euronext Amsterdam;euronext_regulated_list;
BEVER HOLDING;NL0000285278;BEVER;Euronext Amsterdam;euronext_regulated_list;
BM3EAC;KYG137071075;BACE;Euronext Amsterdam;euronext_regulated_list;
BRUNEL INTERNAT;NL0010776944;BRNL;Euronext Amsterdam;euronext_regulated_list;
CABKA;NL00150000S7;CABKA;Euronext Amsterdam;euronext_regulated_list;
CABKA DSC2 TS;NL00150002R5;DSC2S;Euronext Amsterdam;euronext_regulated_list;
CABKA EUR 12W;NL00150000U3;DSCW2;Euronext Amsterdam;euronext_regulated_list;
CABKA EUR 13W;NL00150000V1;DSCW3;Euronext Amsterdam;euronext_regulated_list;
CM.COM;NL0012747059;CMCOM;Euronext Amsterdam;euronext_regulated_list;
Coca-ColaEuropacif;GB00BDCPN049;CCEP;Euronext Amsterdam;euronext_regulated_list;
