Name;ISIN;Symbol;Market;Source;Notes
AB INBEV;BE0974293251;ABI;Euronext Brussels;euronext_regulated_list;
ABO GROUP;BE0974278104;ABO;Euronext Brussels;euronext_regulated_list;
ACCENTIS;BE0003696102;ACCB;Euronext Brussels;euronext_regulated_list;
ACKERMANS V.HAAREN;BE0003764785;ACKB;Euronext Brussels;euronext_regulated_list;
AEDIFICA;BE0003851681;AED;Euronext Brussels;euronext_regulated_list;
AGEAS;BE0974264930;AGS;Euronext Brussels;euronext_regulated_list;
AGFA-GEVAERT;BE0003755692;AGFB;Euronext Brussels;euronext_regulated_list;
AHOLD DEL;NL0011794037;AD;Euronext Brussels;euronext_regulated_list;
APERAM;LU0569974404;APAM;Euronext Brussels;euronext_regulated_list;
ARGENX SE;NL0010832176;ARGX;Euronext Brussels;euronext_regulated_list;
ASCENCIO;BE0003856730;ASCE;Euronext Brussels;euronext_regulated_list;
ATENOR;BE0003837540;ATEB;Euronext Brussels;euronext_regulated_list;
AVANTIUM;NL0015002IE0;AVTX;Euronext Brussels;euronext_regulated_list;
AZELIS GROUP;BE0974400328;AZE;Euronext Brussels;euronext_regulated_list;
BANIMMO A;BE0003870871;BANI;Euronext Brussels;euronext_regulated_list;
BANQUP GROUP;BE0974371032;BANQ;Euronext Brussels;euronext_regulated_list;
BARCO;BE0974362940;BAR;Euronext Brussels;euronext_regulated_list;
BEKAERT;BE0974258874;BEKB;Euronext Brussels;euronext_regulated_list;
BELYSSE GROUP;BE0974314461;BELYS;Euronext Brussels;euronext_regulated_list;
BIOSENIC;BE0974280126;BIOS;Euronext Brussels;euronext_regulated_list;
BIOTALYS;BE0974386188;BTLS;Euronext Brussels;euronext_regulated_list;
BPOST;BE0974268972;BPOST;Euronext Brussels;euronext_regulated_list;
BQUE NAT. BELGIQUE;BE0003008019;BNB;Euronext Brussels;euronext_regulated_list;
BREDERODE;LU1068091351;BREB;Euronext Brussels;euronext_regulated_list;
CAMPINE;BE0003825420;CAMB;Euronext Brussels;euronext_regulated_list;
CARE PROPERTY INV.;BE0974273055;CPINV;Euronext Brussels;euronext_regulated_list;
CELYAD ONCOLOGY;BE0974260896;CYAD;Euronext Brussels;euronext_regulated_list;
