Name;ISIN;Symbol;Market;Source;Notes
AIB GROUP PLC;IE00BF0L3536;A5G;Euronext Dublin;euronext_regulated_list;
BANK OF IRELAND GP;IE00BD1RP616;BIRG;Euronext Dublin;euronext_regulated_list;
CAIRN HOMES PLC;IE00BWY4ZF18;C5H;Euronext Dublin;euronext_regulated_list;
FBD HOLDINGS PLC;IE0003290289;EG7;Euronext Dublin;euronext_regulated_list;
GLANBIA PLC;IE0000669501;GL9;Euronext Dublin;euronext_regulated_list;
GLENVEAGH PROP.PLC;IE00BD6JX574;GVR;Euronext Dublin;euronext_regulated_list;
HAMMERSON PLC;GB00BRJQ8J25;HMSO;Euronext Dublin;euronext_regulated_list;
HOSTELWORLD GROUP;GB00BYYN4225;HSW;Euronext Dublin;euronext_regulated_list;
IRISH CONT. GP.;IE00BLP58571;IR5B;Euronext Dublin;euronext_regulated_list;
IRISH RES. PROP.;IE00BJ34P519;IRES;Euronext Dublin;euronext_regulated_list;
KENMARE RESOURCES;IE00BDC5DG00;KMR;Euronext Dublin;euronext_regulated_list;
KERRY GROUP PLC;IE0004906560;KRZ;Euronext Dublin;euronext_regulated_list;
KINGSPAN GROUP PLC;IE0004927939;KRX;Euronext Dublin;euronext_regulated_list;
PERM. TSB GP. HOLD;IE00BWB8X525;PTSB;Euronext Dublin;euronext_regulated_list;
RYANAIR HOLD. PLC;IE00BYTBXV33;RYA;Euronext Dublin;euronext_regulated_list;
