Name;ISIN;Symbol;Market;Source;Notes
ALTRI SGPS;PTALT0AE0002;ALTR;Euronext Lisbon;euronext_regulated_list;
B.COM.PORTUGUES;PTBCP0AM0015;BCP;Euronext Lisbon;euronext_regulated_list;
BENFICA;PTSLB0AM0010;SLBEN;Euronext Lisbon;euronext_regulated_list;
CORTICEIRA AMORIM;PTCOR0AE0006;COR;Euronext Lisbon;euronext_regulated_list;
CTT CORREIOS PORT;PTCTT0AM0001;CTT;Euronext Lisbon;euronext_regulated_list;
EDP;PTEDP0AM0009;EDP;Euronext Lisbon;euronext_regulated_list;
EDP RENEWABLES;ES0127797019;EDPR;Euronext Lisbon;euronext_regulated_list;
ESTORIL SOL N;PTESO0AM0000;ESON;Euronext Lisbon;euronext_regulated_list;
FLEXDEAL;PTFXD0AM0018;FLEXD;Euronext Lisbon;euronext_regulated_list;
FUT.CLUBE PORTO;PTFCP0AM0008;FCP;Euronext Lisbon;euronext_regulated_list;
GALP ENERGIA-NOM;PTGAL0AM0009;GALP;Euronext Lisbon;euronext_regulated_list;
GLINTT;PTPAD0AM0007;GLINT;Euronext Lisbon;euronext_regulated_list;
IBERSOL,SGPS;PTIBS0AM0008;IBS;Euronext Lisbon;euronext_regulated_list;
IMPRESA,SGPS;PTIPR0AM0000;IPR;Euronext Lisbon;euronext_regulated_list;
J.MARTINS,SGPS;PTJMT0AE0001;JMT;Euronext Lisbon;euronext_regulated_list;
MARTIFER;PTMFR0AM0003;MAR;Euronext Lisbon;euronext_regulated_list;
MEDIA CAPITAL;PTGMC0AM0003;MCP;Euronext Lisbon;euronext_regulated_list;
MERLIN PROPERTIES;ES0105025003;MRL;Euronext Lisbon;euronext_regulated_list;
MOTA ENGIL;PTMEN0AE0005;EGL;Euronext Lisbon;euronext_regulated_list;
NOS, SGPS;PTZON0AM0006;NOS;Euronext Lisbon;euronext_regulated_list;
NOVABASE,SGPS;PTNBA0AM0006;NBA;Euronext Lisbon;euronext_regulated_list;
PHAROL;PTPTC0AM0009;PHR;Euronext Lisbon;euronext_regulated_list;
RAMADA;PTFRV0AE0004;RAM;Euronext Lisbon;euronext_regulated_list;
REN;PTREL0AM0008;RENE;Euronext Lisbon;euronext_regulated_list;
SEMAPA;PTSEM0AM0004;SEM;Euronext Lisbon;euronext_regulated_list;
SONAE;PTSON0AM0001;SON;Euronext Lisbon;euronext_regulated_list;
SONAECOM,SGPS;PTSNC0AM0006;SNC;Euronext Lisbon;euronext_regulated_list;
SPORTING;PTSCP0AM0001;SCP;Euronext Lisbon;euronext_regulated_list;
TEIXEIRA DUARTE;PTTD10AM0000;TDSA;Euronext Lisbon;euronext_regulated_list;
THE NAVIGATOR COMP;PTPTI0AM0006;NVG;Euronext Lisbon;euronext_regulated_list;
TOYOTA CAETANO;PTSCT0AP0018;SCT;Euronext Lisbon;euronext_regulated_list;
VAA VISTA ALEGRE;PTVAA0AM0019;VAF;Euronext Lisbon;euronext_regulated_list;
