Name;ISIN;Symbol;Market;Source;Notes
A2A;IT0001233417;A2A;Euronext Milan;euronext_regulated_list;
ABITARE IN;IT0005445280;ABT;Euronext Milan;euronext_regulated_list;
ACEA;IT0001207098;ACE;Euronext Milan;euronext_regulated_list;
ACINQUE;IT0001382024;AC5;Euronext Milan;euronext_regulated_list;
AEDES;IT0005708174;AEDES;Euronext Milan;euronext_regulated_list;
AEFFE;IT0001384590;AEF;Euronext Milan;euronext_regulated_list;
AEROPORTO G. M. BO;IT0001006128;ADB;Euronext Milan;euronext_regulated_list;
ALERION;IT0004720733;ARN;Euronext Milan;euronext_regulated_list;
ALTEA GREEN POWER;IT0005472730;AGP;Euronext Milan;euronext_regulated_list;
AMPLIFON;IT0004056880;AMP;Euronext Milan;euronext_regulated_list;
ANIMA HOLDING;IT0004998065;ANIM;Euronext Milan;euronext_regulated_list;
AQUAFIL;IT0005241192;ECNL;Euronext Milan;euronext_regulated_list;
ARISTON HOLDING;NL0015000N33;ARIS;Euronext Milan;euronext_regulated_list;
ASCOPIAVE;IT0004093263;ASC;Euronext Milan;euronext_regulated_list;
AUTOSTRADE MERID;IT0000084043;AUTME;Euronext Milan;euronext_regulated_list;
AVIO;IT0005119810;AVIO;Euronext Milan;euronext_regulated_list;
AZIMUT;IT0003261697;AZM;Euronext Milan;euronext_regulated_list;
B&C SPEAKERS;IT0001268561;BEC;Euronext Milan;euronext_regulated_list;
B.F.;IT0005187460;BFG;Euronext Milan;euronext_regulated_list;
BANCA GENERALI;IT0001031084;BGN;Euronext Milan;euronext_regulated_list;
BANCA IFIS;IT0003188064;IF;Euronext Milan;euronext_regulated_list;
BANCA MEDIOLANUM;IT0004776628;BMED;Euronext Milan;euronext_regulated_list;
BANCA MPS;IT0005508921;BMPS;Euronext Milan;euronext_regulated_list;
BANCA SISTEMA;IT0003173629;BST;Euronext Milan;euronext_regulated_list;
BANCO BPM;IT0005218380;BAMI;Euronext Milan;euronext_regulated_list;
BASICNET;IT0001033700;BAN;Euronext Milan;euronext_regulated_list;
BASTOGI SPA;IT0004412497;B;Euronext Milan;euronext_regulated_list;
BCA PROFILO;IT0001073045;PRO;Euronext Milan;euronext_regulated_list;
BCO DESIO BRIANZA;IT0001041000;BDB;Euronext Milan;euronext_regulated_list;
BEEWIZE;IT0001487047;BWZ;Euronext Milan;euronext_regulated_list;
BESTBE HOLDING;IT0005611642;BES;Euronext Milan;euronext_regulated_list;
BFF BANK;IT0005244402;BFF;Euronext Milan;euronext_regulated_list;
BIESSE;IT0003097257;BSS;Euronext Milan;euronext_regulated_list;
BORGOSESIA;IT0003217335;BO;Euronext Milan;euronext_regulated_list;
BPER BANCA;IT0000066123;BPE;Euronext Milan;euronext_regulated_list;
BREMBO;NL0015001KT6;BRE;Euronext Milan;euronext_regulated_list;
BRIOSCHI;IT0000066180;BRI;Euronext Milan;euronext_regulated_list;
BRUNELLO CUCINELLI;IT0004764699;BC;Euronext Milan;euronext_regulated_list;
BUZZI;IT0001347308;BZU;Euronext Milan;euronext_regulated_list;
C. LATTE D'ITALIA;IT0003023980;CLI;Euronext Milan;euronext_regulated_list;
