Name;ISIN;Symbol;Market;Source;Notes
74SOFTWARE;FR0011040500;74SW;Euronext Paris;euronext_regulated_list;
AB SCIENCE;FR0010557264;AB;Euronext Paris;euronext_regulated_list;
AB SCIENCE BSA;FR001400ZRT0;ABBS;Euronext Paris;euronext_regulated_list;
ABC ARBITRAGE;FR0004040608;ABCA;Euronext Paris;euronext_regulated_list;
ABEO;FR0013185857;ABEO;Euronext Paris;euronext_regulated_list;
ABIONYX PHARMA;FR0012616852;ABNX;Euronext Paris;euronext_regulated_list;
ABIVAX;FR0012333284;ABVX;Euronext Paris;euronext_regulated_list;
ABL Diagnostics;FR001400AHX6;ABLD;Euronext Paris;euronext_regulated_list;
ABO GROUP;BE0974278104;ABO;Euronext Paris;euronext_regulated_list;
ACANTHE DEV.;FR0000064602;ACAN;Euronext Paris;euronext_regulated_list;
ACCOR;FR0000120404;AC;Euronext Paris;euronext_regulated_list;
ACTEOS;FR0000076861;EOS;Euronext Paris;euronext_regulated_list;
ADC SIIC;BE0974269012;ALDV;Euronext Paris;euronext_regulated_list;
ADOCIA;FR0011184241;ADOC;Euronext Paris;euronext_regulated_list;
ADP;FR0010340141;ADP;Euronext Paris;euronext_regulated_list;
AELIS FARMA;FR0014007ZB4;AELIS;Euronext Paris;euronext_regulated_list;
AERKOMM INC;US00774B2088;AKOM;Euronext Paris;euronext_regulated_list;
AIR FRANCE -KLM;FR001400J770;AF;Euronext Paris;euronext_regulated_list;
AIR LIQUIDE;FR0000120073;AI;Euronext Paris;euronext_regulated_list;
AIRBUS;NL0000235190;AIR;Euronext Paris;euronext_regulated_list;
AKWEL;FR0000053027;AKW;Euronext Paris;euronext_regulated_list;
ALAN ALLMAN;FR0000062465;AAA;Euronext Paris;euronext_regulated_list;
ALPES (COMPAGNIE);FR0000053324;CDA;Euronext Paris;euronext_regulated_list;
ALSTOM;FR0010220475;ALO;Euronext Paris;euronext_regulated_list;
ALTAMIR;FR0000053837;LTA;Euronext Paris;euronext_regulated_list;
ALTAREA;FR0000033219;ALTA;Euronext Paris;euronext_regulated_list;
ALTAREIT;FR0000039216;AREIT;Euronext Paris;euronext_regulated_list;
ALTEN;FR0000071946;ATE;Euronext Paris;euronext_regulated_list;
AMUNDI;FR0004125920;AMUN;Euronext Paris;euronext_regulated_list;
ANTIN INFRA PARTN;FR0014005AL0;ANTIN;Euronext Paris;euronext_regulated_list;
APERAM;LU0569974404;APAM;Euronext Paris;euronext_regulated_list;
ARAMIS GROUP;FR0014003U94;ARAMI;Euronext Paris;euronext_regulated_list;
ARCELORMITTAL SA;LU1598757687;MT;Euronext Paris;euronext_regulated_list;
ARGAN;FR0010481960;ARG;Euronext Paris;euronext_regulated_list;
ARKEMA;FR0010313833;AKE;Euronext Paris;euronext_regulated_list;
ARTEA;FR0012185536;ARTE;Euronext Paris;euronext_regulated_list;
ARTMARKET COM;FR0000074783;PRC;Euronext Paris;euronext_regulated_list;
ARTOIS NOM.;FR0000076952;ARTO;Euronext Paris;euronext_regulated_list;
ARVERNE GROUP;FR001400JWR8;ARVEN;Euronext Paris;euronext_regulated_list;
ARVERNE WARRANT;FR0014003AC4;ARVBS;Euronext Paris;euronext_regulated_list;
ASSYSTEM;FR0000074148;ASY;Euronext Paris;euronext_regulated_list;
ATEME;FR0011992700;ATEME;Euronext Paris;euronext_regulated_list;
ATLAND;FR0013455482;ATLD;Euronext Paris;euronext_regulated_list;
ATOS GROUP;FR001400X2S4;ATO;Euronext Paris;euronext_regulated_list;
AUBAY;FR0000063737;AUB;Euronext Paris;euronext_regulated_list;
AUGROS COSMETIC;FR0000061780;AUGR;Euronext Paris;euronext_regulated_list;
AUREA;FR0000039232;AURE;Euronext Paris;euronext_regulated_list;
AVENIR TELECOM;FR001400CFI7;AVT;Euronext Paris;euronext_regulated_list;
AXA;FR0000120628;CS;Euronext Paris;euronext_regulated_list;
AYVENS;FR0013258662;AYV;Euronext Paris;euronext_regulated_list;
BAINS MER MONACO;MC0000031187;BAIN;Euronext Paris;euronext_regulated_list;
BARBARA BUI;FR0000062788;BUI;Euronext Paris;euronext_regulated_list;
BASSAC;FR0004023208;BASS;Euronext Paris;euronext_regulated_list;
BASTIDE LE CONFORT;FR0000035370;BLC;Euronext Paris;euronext_regulated_list;
BENETEAU;FR0000035164;BEN;Euronext Paris;euronext_regulated_list;
BIC;FR0000120966;BB;Euronext Paris;euronext_regulated_list;
BIGBEN INTERACTIVE;FR0000074072;BIG;Euronext Paris;euronext_regulated_list;
BIOMERIEUX;FR0013280286;BIM;Euronext Paris;euronext_regulated_list;
BIOSENIC;BE0974280126;BIOS;Euronext Paris;euronext_regulated_list;
BLEECKER;FR0000062150;BLEE;Euronext Paris;euronext_regulated_list;
BNP PARIBAS ACT.A;FR0000131104;BNP;Euronext Paris;euronext_regulated_list;
BOIRON;FR0000061129;BOI;Euronext Paris;euronext_regulated_list;
BOLLORE;FR0000039299;BOL;Euronext Paris;euronext_regulated_list;
BONDUELLE;FR0000063935;BON;Euronext Paris;euronext_regulated_list;
BOURSE DIRECT;FR0000074254;BSD;Euronext Paris;euronext_regulated_list;
BOUYGUES;FR0000120503;EN;Euronext Paris;euronext_regulated_list;
BUREAU VERITAS;FR0006174348;BVI;Euronext Paris;euronext_regulated_list;
BURELLE;FR0000061137;BUR;Euronext Paris;euronext_regulated_list;
CA TOULOUSE 31 CCI;FR0000045544;CAT31;Euronext Paris;euronext_regulated_list;
CAMBODGE NOM.;FR001400SUB7;CBDG;Euronext Paris;euronext_regulated_list;
CAPGEMINI;FR0000125338;CAP;Euronext Paris;euronext_regulated_list;
CARMILA;FR0010828137;CARM;Euronext Paris;euronext_regulated_list;
CARREFOUR;FR0000120172;CA;Euronext Paris;euronext_regulated_list;
CARVOLIX;FR0013333077;CVX;Euronext Paris;euronext_regulated_list;
CASINO BSA1;FR001400OJ72;COBS1;Euronext Paris;euronext_regulated_list;
CASINO BSA3;FR001400OJ98;COBS3;Euronext Paris;euronext_regulated_list;
CASINO GUICHARD;FR001400OKR3;CO;Euronext Paris;euronext_regulated_list;
CBO TERRITORIA;FR0010193979;CBOT;Euronext Paris;euronext_regulated_list;
CELYAD ONCOLOGY;BE0974260896;CYAD;Euronext Paris;euronext_regulated_list;
CFI;FR0000037475;CFI;Euronext Paris;euronext_regulated_list;
CHAUSSERIA;FR0000060907;CHSR;Euronext Paris;euronext_regulated_list;
CHRISTIAN DIOR;FR0000130403;CDI;Euronext Paris;euronext_regulated_list;
CIECHARGEURSINVEST;FR0000130692;CRI;Euronext Paris;euronext_regulated_list;
CLARIANE;FR0010386334;CLARI;Euronext Paris;euronext_regulated_list;
COFACE;FR0010667147;COFA;Euronext Paris;euronext_regulated_list;
COHERIS;FR0004031763;COH;Euronext Paris;euronext_regulated_list;
COMPAGNIE ODET;FR0000062234;ODET;Euronext Paris;euronext_regulated_list;
COTY;US2220702037;COTY;Euronext Paris;euronext_regulated_list;
COURTOIS;FR0000065393;COUR;Euronext Paris;euronext_regulated_list;
COVIVIO;FR0000064578;COV;Euronext Paris;euronext_regulated_list;
COVIVIO HOTELS;FR0000060303;COVH;Euronext Paris;euronext_regulated_list;
CRCAM ALP.PROV.CCI;FR0000044323;CRAP;Euronext Paris;euronext_regulated_list;
CRCAM ATL.VEND.CCI;FR0000185506;CRAV;Euronext Paris;euronext_regulated_list;
CRCAM BRIE PIC2CCI;FR0010483768;CRBP2;Euronext Paris;euronext_regulated_list;
CRCAM ILLE-VIL.CCI;FR0000045213;CIV;Euronext Paris;euronext_regulated_list;
CRCAM LANGUED CCI;FR0010461053;CRLA;Euronext Paris;euronext_regulated_list;
CRCAM LOIRE HTE L.;FR0000045239;CRLO;Euronext Paris;euronext_regulated_list;
CRCAM MORBIHAN CCI;FR0000045551;CMO;Euronext Paris;euronext_regulated_list;
CRCAM NORD CCI;FR0000185514;CNDF;Euronext Paris;euronext_regulated_list;
CRCAM NORM.SEINE;FR0000044364;CCN;Euronext Paris;euronext_regulated_list;
CRCAM PARIS ET IDF;FR0000045528;CAF;Euronext Paris;euronext_regulated_list;
CRCAM SUD R.A.CCI;FR0000045346;CRSU;Euronext Paris;euronext_regulated_list;
CRCAM TOURAINE CCI;FR0000045304;CRTO;Euronext Paris;euronext_regulated_list;
CREDIT AGRICOLE;FR0000045072;ACA;Euronext Paris;euronext_regulated_list;
CROSSWOOD;FR0000050395;CROS;Euronext Paris;euronext_regulated_list;
DANONE;FR0000120644;BN;Euronext Paris;euronext_regulated_list;
DASSAULT AVIATION;FR0014004L86;AM;Euronext Paris;euronext_regulated_list;
DASSAULT SYSTEMES;FR0014003TT8;DSY;Euronext Paris;euronext_regulated_list;
DBV TECHNOLOGIES;FR0010417345;DBV;Euronext Paris;euronext_regulated_list;
DEEZER;FR001400AYG6;DEEZR;Euronext Paris;euronext_regulated_list;
DEEZER WARRANTS;FR0014004JF6;DEEZW;Euronext Paris;euronext_regulated_list;
DEKUPLE;FR0000062978;DKUPL;Euronext Paris;euronext_regulated_list;
DERICHEBOURG;FR0000053381;DBG;Euronext Paris;euronext_regulated_list;
DOCK.PETR.AMBES AM;FR0000065260;DPAM;Euronext Paris;euronext_regulated_list;
EAGLEFOOTBALLGROUP;FR0010428771;EFG;Euronext Paris;euronext_regulated_list;
EDENRED;FR0010908533;EDEN;Euronext Paris;euronext_regulated_list;
EIFFAGE;FR0000130452;FGR;Euronext Paris;euronext_regulated_list;
EKINOPS;FR0011466069;EKI;Euronext Paris;euronext_regulated_list;
ELEC.STRASBOURG;FR0000031023;ELEC;Euronext Paris;euronext_regulated_list;
ELECT. MADAGASCAR;FR0000035719;EEM;Euronext Paris;euronext_regulated_list;
ELIOR GROUP;FR0011950732;ELIOR;Euronext Paris;euronext_regulated_list;
ELIS;FR0012435121;ELIS;Euronext Paris;euronext_regulated_list;
EMEIS;FR001400NLM4;EMEIS;Euronext Paris;euronext_regulated_list;
ENGIE;FR0010208488;ENGI;Euronext Paris;euronext_regulated_list;
EQUASENS;FR0012882389;EQS;Euronext Paris;euronext_regulated_list;
ERAMET;FR0000131757;ERA;Euronext Paris;euronext_regulated_list;
ESSILORLUXOTTICA;FR0000121667;EL;Euronext Paris;euronext_regulated_list;
EURASIA FONC INV;FR0000061475;EFI;Euronext Paris;euronext_regulated_list;
EURAZEO;FR0000121121;RF;Euronext Paris;euronext_regulated_list;
EUROAPI;FR0014008VX5;EAPI;Euronext Paris;euronext_regulated_list;
EUROFINS SCIENT.;FR0014000MR3;ERF;Euronext Paris;euronext_regulated_list;
EURONEXT;NL0006294274;ENX;Euronext Paris;euronext_regulated_list;
EUTELSAT COMMUNIC.;FR0010221234;ETL;Euronext Paris;euronext_regulated_list;
EVERGREEN;FR0000035784;EGR;Euronext Paris;euronext_regulated_list;
EXAIL TECHNOLOGIES;FR0000062671;EXA;Euronext Paris;euronext_regulated_list;
EXEL INDUSTRIES;FR0004527638;EXE;Euronext Paris;euronext_regulated_list;
EXOSENS;FR001400Q9V2;EXENS;Euronext Paris;euronext_regulated_list;
EXPLOSIFS PROD.CHI;FR0014003AQ4;EXPL;Euronext Paris;euronext_regulated_list;
FDJ UNITED;FR0013451333;FDJU;Euronext Paris;euronext_regulated_list;
FERM.CAS.MUN.CANNE;FR0000062101;FCMC;Euronext Paris;euronext_regulated_list;
FIDUCIAL OFF.SOL.;FR0000061418;SACI;Euronext Paris;euronext_regulated_list;
FIDUCIAL REAL EST.;FR0000060535;ORIA;Euronext Paris;euronext_regulated_list;
FIGEAC AERO;FR0011665280;FGA;Euronext Paris;euronext_regulated_list;
FIN.OUEST AFRICAIN;SN0000033192;FOAF;Euronext Paris;euronext_regulated_list;
FINANCIERE MARJOS;FR0000060824;FINM;Euronext Paris;euronext_regulated_list;
FIPP;FR0000038184;FIPP;Euronext Paris;euronext_regulated_list;
FNAC DARTY;FR0011476928;FNAC;Euronext Paris;euronext_regulated_list;
FONCIERE 7 INVEST;FR0000065930;LEBL;Euronext Paris;euronext_regulated_list;
FONCIERE INEA;FR0010341032;INEA;Euronext Paris;euronext_regulated_list;
FONCIERE VOLTA;FR0000053944;SPEL;Euronext Paris;euronext_regulated_list;
FORESTIERE EQUAT.;CI0000053161;FORE;Euronext Paris;euronext_regulated_list;
FORVIA;FR0000121147;FRVIA;Euronext Paris;euronext_regulated_list;
FRANCAISE ENERGIE;FR0013030152;FDE;Euronext Paris;euronext_regulated_list;
FREY;FR0010588079;FREY;Euronext Paris;euronext_regulated_list;
FSDV;FR0000031973;FSDV;Euronext Paris;euronext_regulated_list;
GAUMONT;FR0000034894;GAM;Euronext Paris;euronext_regulated_list;
GEA GRENOBL.ELECT.;FR0000053035;GEA;Euronext Paris;euronext_regulated_list;
GECINA;FR0010040865;GFC;Euronext Paris;euronext_regulated_list;
GENFIT;FR0004163111;GNFT;Euronext Paris;euronext_regulated_list;
GENSIGHT BIOLOGICS;FR0013183985;SIGHT;Euronext Paris;euronext_regulated_list;
GETLINK SE;FR0010533075;GET;Euronext Paris;euronext_regulated_list;
GL EVENTS;FR0000066672;GLO;Euronext Paris;euronext_regulated_list;
GPE GROUP PIZZORNO;FR0010214064;GPE;Euronext Paris;euronext_regulated_list;
GRAINES VOLTZ;FR0000065971;GRVO;Euronext Paris;euronext_regulated_list;
GROUPE CRIT;FR0000036675;CEN;Euronext Paris;euronext_regulated_list;
GROUPE JAJ;FR0004010338;GJAJ;Euronext Paris;euronext_regulated_list;
GROUPE PARTOUCHE;FR0012612646;PARP;Euronext Paris;euronext_regulated_list;
GROUPE SFPI;FR0004155000;SFPI;Euronext Paris;euronext_regulated_list;
GTT;FR0011726835;GTT;Euronext Paris;euronext_regulated_list;
GUERBET;FR0000032526;GBT;Euronext Paris;euronext_regulated_list;
GUILLEMOT;FR0000066722;GUI;Euronext Paris;euronext_regulated_list;
HAULOTTE GROUP;FR0000066755;PIG;Euronext Paris;euronext_regulated_list;
HDF;FR0014003VY4;HDF;Euronext Paris;euronext_regulated_list;
HERMES INTL;FR0000052292;RMS;Euronext Paris;euronext_regulated_list;
HIGH CO;FR0000054231;HCO;Euronext Paris;euronext_regulated_list;
HOTELS DE PARIS;FR0004165801;HDP;Euronext Paris;euronext_regulated_list;
ICADE;FR0000035081;ICAD;Euronext Paris;euronext_regulated_list;
ID LOGISTICS GROUP;FR0010929125;IDL;Euronext Paris;euronext_regulated_list;
IDI;FR0000051393;IDIP;Euronext Paris;euronext_regulated_list;
IMERYS;FR0000120859;NK;Euronext Paris;euronext_regulated_list;
IMMOB.DASSAULT;FR0000033243;IMDA;Euronext Paris;euronext_regulated_list;
INFOTEL;FR0000071797;INF;Euronext Paris;euronext_regulated_list;
INNATE PHARMA;FR0010331421;IPH;Euronext Paris;euronext_regulated_list;
INTERPARFUMS;FR0004024222;ITP;Euronext Paris;euronext_regulated_list;
INTEXA;FR0000064958;ITXT;Euronext Paris;euronext_regulated_list;
INVENTIVA;FR0013233012;IVA;Euronext Paris;euronext_regulated_list;
IPSEN;FR0010259150;IPN;Euronext Paris;euronext_regulated_list;
IPSOS;FR0000073298;IPS;Euronext Paris;euronext_regulated_list;
JACQUES BOGART;FR0012872141;JBOG;Euronext Paris;euronext_regulated_list;
JACQUET METALS;FR0000033904;JCQ;Euronext Paris;euronext_regulated_list;
JCDECAUX;FR0000077919;DEC;Euronext Paris;euronext_regulated_list;
KAUFMAN ET BROAD;FR0004007813;KOF;Euronext Paris;euronext_regulated_list;
KERING;FR0000121485;KER;Euronext Paris;euronext_regulated_list;
KLEPIERRE;FR0000121964;LI;Euronext Paris;euronext_regulated_list;
L'OREAL;FR0000120321;OR;Euronext Paris;euronext_regulated_list;
LACROIX GROUP;FR0000066607;LACR;Euronext Paris;euronext_regulated_list;
LAGARDERE SA;FR0000130213;MMB;Euronext Paris;euronext_regulated_list;
LATECOERE;FR001400JY13;LAT;Euronext Paris;euronext_regulated_list;
LAURENT-PERRIER;FR0006864484;LPE;Euronext Paris;euronext_regulated_list;
LDC;FR001400SF56;LOUP;Euronext Paris;euronext_regulated_list;
LECTRA;FR0000065484;LSS;Euronext Paris;euronext_regulated_list;
LEGRAND;FR0010307819;LR;Euronext Paris;euronext_regulated_list;
LHYFE;FR0014009YQ1;LHYFE;Euronext Paris;euronext_regulated_list;
LINEDATA SERVICES;FR0004156297;LIN;Euronext Paris;euronext_regulated_list;
LISI;FR0000050353;FII;Euronext Paris;euronext_regulated_list;
LNA SANTE;FR0004170017;LNA;Euronext Paris;euronext_regulated_list;
LUMIBIRD;FR0000038242;LBIRD;Euronext Paris;euronext_regulated_list;
LVMH;FR0000121014;MC;Euronext Paris;euronext_regulated_list;
MAAT PHARMA;FR0012634822;MAAT;Euronext Paris;euronext_regulated_list;
MAISON POMMERY;FR0000062796;POMRY;Euronext Paris;euronext_regulated_list;
