Name;ISIN;Symbol;Market;Source;Notes
2020 BULKERS;BMG9156K1018;2020;Oslo Børs;euronext_regulated_list;
ABG SUNDAL COLLIER;NO0003021909;ABG;Oslo Børs;euronext_regulated_list;
AF GRUPPEN;NO0003078107;AFG;Oslo Børs;euronext_regulated_list;
AGILYX;NO0010872468;AGLX;Oslo Børs;euronext_regulated_list;
AKASTOR;NO0010215684;AKAST;Oslo Børs;euronext_regulated_list;
AKER;NO0010234552;AKER;Oslo Børs;euronext_regulated_list;
AKER BIOMARINE;NO0010886625;AKBM;Oslo Børs;euronext_regulated_list;
AKER BP;NO0010345853;AKRBP;Oslo Børs;euronext_regulated_list;
AKER SOLUTIONS;NO0010716582;AKSO;Oslo Børs;euronext_regulated_list;
AKVA GROUP;NO0003097503;AKVA;Oslo Børs;euronext_regulated_list;
APPEAR;NO0013683821;APR;Oslo Børs;euronext_regulated_list;
AQUALIS;NO0010715394;AQUA;Oslo Børs;euronext_regulated_list;
ARCHER;BMG0451H2087;ARCH;Oslo Børs;euronext_regulated_list;
ARCTICZYMES TECHNO;NO0010014632;AZT;Oslo Børs;euronext_regulated_list;
ARENDALS FOSSEKOMP;NO0003572802;AFK;Oslo Børs;euronext_regulated_list;
ARRIBATEC GROUP;NO0013682948;ARR;Oslo Børs;euronext_regulated_list;
ATEA;NO0004822503;ATEA;Oslo Børs;euronext_regulated_list;
ATLANTIC SAPPHI TR;NO0013340802;ASAS;Oslo Børs;euronext_regulated_list;
ATLANTIC SAPPHIRE;NO0013464750;ASA;Oslo Børs;euronext_regulated_list;
AURSKOG SPAREBANK;NO0006001601;AURG;Oslo Børs;euronext_regulated_list;
AUSTEVOLL SEAFOOD;NO0010073489;AUSS;Oslo Børs;euronext_regulated_list;
AUTOSTORE HOLDINGS;BMG0670A1099;AUTO;Oslo Børs;euronext_regulated_list;
AXACTOR;NO0010840515;ACR;Oslo Børs;euronext_regulated_list;
B2 Impact;NO0010633951;B2I;Oslo Børs;euronext_regulated_list;
BAKKAFROST;FO0000000179;BAKKA;Oslo Børs;euronext_regulated_list;
BEVEST;NO0013711721;BINT;Oslo Børs;euronext_regulated_list;
BEWI;NO0010890965;BEWI;Oslo Børs;euronext_regulated_list;
BIEN SPAREBANK;NO0012706763;BIEN;Oslo Børs;euronext_regulated_list;
BLUENORD;NO0010379266;BNOR;Oslo Børs;euronext_regulated_list;
BOHUS;NO0013753343;BOHUS;Oslo Børs;euronext_regulated_list;
BONHEUR;NO0003110603;BONHR;Oslo Børs;euronext_regulated_list;
BORGESTAD;NO0013256180;BOR;Oslo Børs;euronext_regulated_list;
BORR DRILLING;BMG1466R1732;BORR;Oslo Børs;euronext_regulated_list;
BORREGAARD;NO0010657505;BRG;Oslo Børs;euronext_regulated_list;
BOUVET;NO0010360266;BOUV;Oslo Børs;euronext_regulated_list;
BW ENERGY LIMITED;BMG0702P1086;BWE;Oslo Børs;euronext_regulated_list;
BW LPG;SGXZ69436764;BWLPG;Oslo Børs;euronext_regulated_list;
BW OFFSHORE LTD;BMG1738J1247;BWO;Oslo Børs;euronext_regulated_list;
CADELER;DK0061412772;CADLR;Oslo Børs;euronext_regulated_list;
CAPSOL TECHNOLOGI;NO0010923121;CAPSL;Oslo Børs;euronext_regulated_list;
CAVENDISH HYDROGEN;NO0013219535;CAVEN;Oslo Børs;euronext_regulated_list;
CIRCIO HOLDING;NO0013033795;CRNA;Oslo Børs;euronext_regulated_list;
CLOUDBERRY CLEAN;NO0010876642;CLOUD;Oslo Børs;euronext_regulated_list;
CONSTELLATION OIL;NO0013597419;COSH;Oslo Børs;euronext_regulated_list;
CONTEXTVISION;SE0014731154;CONTX;Oslo Børs;euronext_regulated_list;
DELLIA GROUP;NO0013755728;DELIA;Oslo Børs;euronext_regulated_list;
DNB BANK;NO0010161896;DNB;Oslo Børs;euronext_regulated_list;
DNO;NO0003921009;DNO;Oslo Børs;euronext_regulated_list;
DOF GROUP;NO0012851874;DOFG;Oslo Børs;euronext_regulated_list;
EIDESVIK OFFSHORE;NO0010263023;EIOF;Oslo Børs;euronext_regulated_list;
ELECTROMAGNET GEO;NO0010358484;EMGS;Oslo Børs;euronext_regulated_list;
ELKEM;NO0010816093;ELK;Oslo Børs;euronext_regulated_list;
ELLIPTIC LABORATOR;NO0010722283;ELABS;Oslo Børs;euronext_regulated_list;
ELMERA GROUP;NO0010815673;ELMRA;Oslo Børs;euronext_regulated_list;
ELOPAK;NO0011002586;ELO;Oslo Børs;euronext_regulated_list;
ENDÚR;NO0012555459;ENDUR;Oslo Børs;euronext_regulated_list;
ENSURGE MICROPOWER;NO0013186460;ENSU;Oslo Børs;euronext_regulated_list;
ENTRA;NO0010716418;ENTRA;Oslo Børs;euronext_regulated_list;
EQUINOR;NO0010096985;EQNR;Oslo Børs;euronext_regulated_list;
EQVA;NO0010708605;EQVA;Oslo Børs;euronext_regulated_list;
EUROPRIS;NO0010735343;EPR;Oslo Børs;euronext_regulated_list;
FJORD DEFENCE GR;NO0013647693;DFENS;Oslo Børs;euronext_regulated_list;
FRONTLINE;CY0200352116;FRO;Oslo Børs;euronext_regulated_list;
GENERAL OCEANS;NO0013713115;GENO;Oslo Børs;euronext_regulated_list;
GENTIAN DIAGNOSTIC;NO0010748866;GENT;Oslo Børs;euronext_regulated_list;
GJENSIDIGE FORSIKR;NO0010582521;GJF;Oslo Børs;euronext_regulated_list;
GOODTECH;NO0004913609;GOD;Oslo Børs;euronext_regulated_list;
GRIEG SEAFOOD;NO0010365521;GSF;Oslo Børs;euronext_regulated_list;
GYLDENDAL;NO0004288200;GYL;Oslo Børs;euronext_regulated_list;
HAFNIA LIMITED;SGXZ53070850;HAFNI;Oslo Børs;euronext_regulated_list;
HAUGESUND SPB;NO0010764053;HGSB;Oslo Børs;euronext_regulated_list;
HAVILA SHIPPING;NO0010257728;HAVI;Oslo Børs;euronext_regulated_list;
HERMANA HOLDING;NO0013401380;HERMA;Oslo Børs;euronext_regulated_list;
HEXAGON COMPOSITES;NO0003067902;HEX;Oslo Børs;euronext_regulated_list;
HEXAGON PURUS;NO0013751966;HPUR;Oslo Børs;euronext_regulated_list;
HIMALAYA SHIPPING;BMG4660A1036;HSHP;Oslo Børs;euronext_regulated_list;
HOFSETH BIOCARE;NO0010598683;HBC;Oslo Børs;euronext_regulated_list;
HYDROGENPRO;NO0010892359;HYPRO;Oslo Børs;euronext_regulated_list;
HÖEGH AUTOLINERS;NO0011082075;HAUTO;Oslo Børs;euronext_regulated_list;
HØLAND OG SETSKOG;NO0010012636;HSPG;Oslo Børs;euronext_regulated_list;
IDEX BIOMETRICS;NO0013536078;IDEX;Oslo Børs;euronext_regulated_list;
INTEGRATED WIND SO;NO0013461350;IWS;Oslo Børs;euronext_regulated_list;
INTEROIL EXPL PROD;NO0013119255;IOX;Oslo Børs;euronext_regulated_list;
ITERA;NO0010001118;ITERA;Oslo Børs;euronext_regulated_list;
